0verflow;Japan
1st Playable Productions;United States
2K Czech;Czech Republic
2XL Games;United States
343 Industries;United States
38 Studios;United States
3D Realms;United States
3G Studios;United States
42 Entertainment;United States
4A Games;Ukraine
5pb. Inc.;Japan
5th Cell;United States
989 Studios;United States
Acclaim Entertainment;United States
Accolade;United States
Access Games;Japan
Access Software;United States
ACE Team;Chile
Aces Studio;United States
Acheron Design;Australia
Action Forms;Ukraine
Active Gaming Media;Japan
Activision;United States
Activision Blizzard;United States
Adventure Soft;United Kingdom
Akella;Russia
Aki Corporation;Japan
Alfa System;Japan
Amazon Game Studios;United States
Ancient;Japan
Anino Games;Philippines
Ankama Games;France
AQ Interactive;Japan
Arc System Works;Japan
Arkane Studios;France
Arkedo Studio;France
ArenaNet;United States
Arika;Japan
Armor Project;Japan
Art Co., Ltd;Japan
Artdink;Japan
ArtePiazza;Japan
Artificial Studios;United States
Artoon;Japan
Ascaron;Germany
Asobo Studio;France
Atlus;Japan
Atomic Planet Entertainment;United Kingdom
Attic Entertainment Software;Germany
Avalanche Software;United States
Avalanche Studios;Sweden
Aventurine SA;Greece
Babaroga;United States
Backbone Entertainment;United States
Bandai Namco Studios;Japan
Banpresto;Japan
Bauhaus Entertainment;Japan
Beenox;Canada
Behaviour Interactive;Canada
Bethesda Softworks;United States
Big Huge Games;United States
Binary Hammer;United States
BioWare;Canada
Bird Studio;Japan
The Bitmap Brothers;United Kingdom
Bits Studios;United Kingdom
Bizarre Creations;United Kingdom
Black Forest Games;Germany
Black Isle Studios;United States
Black Rock Studio;United Kingdom
Black Shell Games;United States
Black Wing Foundation;Ukraine
Blitz Games Studios;United Kingdom
Blizzard Entertainment;United States
Blue Byte Software;Germany
Blue Fang Games;United States
Blue Tongue Entertainment;Australia
Bohemia Interactive;Czech Republic
Boss Fight Entertainment;United States
Boss Key Productions;United States
BreakAway Games;United States
Brøderbund;United States
Brownie Brown;Japan
Bugbear Entertainment;Finland
Buka Entertainment;Russia
Bullfrog Productions;United Kingdom
Bungie;United States
Capcom;Japan
Capcom Vancouver;Canada
Carbine Studios;United States
Cauldron;Slovakia
Cave;Japan
Cavia;Japan
CCP Games;Iceland
CD Projekt RED;Poland
Centuri;United States
Certain Affinity;United States
Chair Entertainment;United States
Chunsoft;Japan
Cing;Japan
Clap Hanz;Japan
Climax Entertainment;Japan
Climax Studios;United Kingdom
Cloud Imperium Games;United States
Clover Studio;Japan
Coded Illusions;Netherlands
Codemasters;United Kingdom
Coktel Vision;France
Colossal Order;Finland
Compile Heart;Japan
Compulsion Games;Canada
Core Design;United Kingdom
Crafts & Meister;Japan
Creat Studios;United States
Creative Assembly;United Kingdom
Criterion Games;United Kingdom
Croteam;Croatia
Cryo Interactive;France
Cryptic Studios;United States
