"ID","NAME","RELEASE_DATE","IMAGE_URL"
"1","The Legend of Zelda: Ocarina of Time","Nov-23-1998","https://upload.wikimedia.org/wikipedia/en/8/8e/The_Legend_of_Zelda_Ocarina_of_Time_box_art.png"
"2","Tony Hawk's Pro Skater 2","Sep-20-2000","https://upload.wikimedia.org/wikipedia/en/4/41/Tony_Hawk's_Pro_Skater_2_cover.png"
"3","Grand Theft Auto IV","Apr-29-2008","https://upload.wikimedia.org/wikipedia/en/b/b7/Grand_Theft_Auto_IV_cover.jpg"
"4","SoulCalibur","Sep-8-1999","https://upload.wikimedia.org/wikipedia/en/4/45/Soulcalibur_flyer.png"
"6","Super Mario Galaxy","Nov-12-2007","https://upload.wikimedia.org/wikipedia/en/7/76/SuperMarioGalaxy.jpg"
"7","Super Mario Galaxy 2","May-23-2010","https://upload.wikimedia.org/wikipedia/en/6/65/Super_Mario_Galaxy_2_Box_Art.jpg"
"8","Grand Theft Auto V","Nov-18-2014","https://upload.wikimedia.org/wikipedia/en/a/a5/Grand_Theft_Auto_V.png"
"12","Tony Hawk's Pro Skater 3","Oct-28-2001","https://upload.wikimedia.org/wikipedia/en/2/2b/Tony_Hawk%27s_Pro_Skater_3_Coverart.jpg"
"13","Perfect Dark","May-22-2000","https://upload.wikimedia.org/wikipedia/en/3/32/Perfect_dark_box.jpg"
"15","Metroid Prime","Nov-17-2002","https://upload.wikimedia.org/wikipedia/en/b/ba/MetroidPrimebox.jpg"
"16","Grand Theft Auto III","Oct-22-2001","https://upload.wikimedia.org/wikipedia/en/b/be/GTA3boxcover.jpg"
"17","Halo: Combat Evolved","Nov-14-2001","https://upload.wikimedia.org/wikipedia/en/8/80/Halo_-_Combat_Evolved_(XBox_version_-_box_art).jpg"
"18","NFL 2K1","Sep-7-2000","N/A"
"19","Half-Life 2","Nov-16-2004","https://upload.wikimedia.org/wikipedia/en/2/25/Half-Life_2_cover.jpg"
"21","BioShock","Aug-21-2007","https://upload.wikimedia.org/wikipedia/en/6/6d/BioShock_cover.jpg"
"22","GoldenEye 007","Aug-25-1997","https://upload.wikimedia.org/wikipedia/en/thumb/3/36/GoldenEye007box.jpg/250px-GoldenEye007box.jpg"
"23","Uncharted 2: Among Thieves","Oct-13-2009","https://upload.wikimedia.org/wikipedia/en/7/7b/Uncharted_2_box_artwork.jpg"
"24","Resident Evil 4","Jan-11-2005","https://upload.wikimedia.org/wikipedia/en/d/d9/Resi4-gc-cover.jpg"
"25","The Orange Box","Oct-10-2007","https://upload.wikimedia.org/wikipedia/en/2/23/Hltob-win-cover.jpg"
"27","Batman: Arkham City","Oct-18-2011","https://upload.wikimedia.org/wikipedia/en/0/00/Batman_Arkham_City_Game_Cover.jpg"
"28","Tekken 3","Apr-29-1998","https://upload.wikimedia.org/wikipedia/en/f/f0/T3usposter.jpg"
"29","Mass Effect 2","Jan-26-2010","https://upload.wikimedia.org"
"30","The Legend of Zelda: Twilight Princess","Dec-11-2006","https://upload.wikimedia.org/wikipedia/en/0/0e/The_Legend_of_Zelda_Twilight_Princess_Game_Cover.jpg"
"31","The Elder Scrolls V: Skyrim","Nov-11-2011","https://upload.wikimedia.org/wikipedia/en/1/15/The_Elder_Scrolls_V_Skyrim_cover.png"
"32","Half-Life","Oct-31-1998","N/A"
"34","The Legend of Zelda: The Wind Waker","Mar-24-2003","https://upload.wikimedia.org/wikipedia/en/7/72/ZeldaWindWakerGCNCoverArtUS.jpg"
"37","Metal Gear Solid 2: Sons of Liberty","Nov-12-2001","https://upload.wikimedia.org/wikipedia/en/6/6a/Metalgear2boxart.jpg"
"39","Baldur's Gate II: Shadows of Amn","Sep-24-2000","https://upload.wikimedia.org/wikipedia/en/1/17/Baldur's_Gate_II_-_Shadows_of_Amn_Coverart.png"
"40","Grand Theft Auto: San Andreas","Oct-26-2004","https://upload.wikimedia.org/wikipedia/en/c/c4/GTASABOX.jpg"
"41","Grand Theft Auto: Vice City","Oct-27-2002","https://upload.wikimedia.org/wikipedia/en/c/ce/Vice-city-cover.jpg"
"42","LittleBigPlanet","Oct-27-2008","N/A"
"43","The Legend of Zelda Collector's Edition","Nov-17-2003","N/A"
"44","Red Dead Redemption","May-18-2010","https://upload.wikimedia.org/wikipedia/en/a/a7/Red_Dead_Redemption.jpg"
"45","Gran Turismo 3: A-Spec","Jul-9-2001","https://upload.wikimedia.org/wikipedia/en/0/0d/Gran_Turismo_3.jpg"
"46","Halo 2","Nov-9-2004","https://upload.wikimedia.org/wikipedia/en/9/92/Halo2-cover.png"
"47","The Legend of Zelda: A Link to the Past","Dec-3-2002","https://upload.wikimedia.org/wikipedia/en/2/21/The_Legend_of_Zelda_A_Link_to_the_Past_SNES_Game_Cover.jpg"
"48","The Legend of Zelda: Majora's Mask","Oct-25-2000","https://upload.wikimedia.org/wikipedia/en/6/60/The_Legend_of_Zelda_-_Majora's_Mask_Box_Art.jpg"
"49","The Last of Us","Jun-14-2013","https://upload.wikimedia.org/wikipedia/en/4/46/Video_Game_Cover_-_The_Last_of_Us.jpg"
